threshold,predicted_positive_count,predicted_positive_pct,tp,fp,fn,tn,estimated_total_cost,within_capacity
0.2,908,64.44,362,546,12,489,606,False
0.25,843,59.83,353,490,21,545,595,False
0.3,779,55.29,338,441,36,594,621,False
0.35,726,51.53,330,396,44,639,616,False
0.4,678,48.12,324,354,50,681,604,False
0.45,617,43.79,309,308,65,727,633,False
0.5,573,40.67,293,280,81,755,685,False
0.55,531,37.69,281,250,93,785,715,False
0.6,484,34.35,268,216,106,819,746,True
0.65,438,31.09,255,183,119,852,778,True
0.7,389,27.61,235,154,139,881,849,True
